Card name,Official URL ,Card Issuer,Status,,,,,,,,,,,,,,,,,,,,,,
Powermiles Credit Card,https://equitas.bank.in/personal-banking/pay/credit-cards/powermiles-credit-card/,Equitas Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Visa Celesta Credit Card,https://www.federal.bank.in/visa-celesta-credit-card,Federal Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Visa Imperio Credit Card,https://www.federal.bank.in/visa-imperio-credit-card,Federal Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Visa Signet Credit Card,https://www.federal.bank.in/visa-signet-credit-card,Federal Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Fed StarBiz Visa Credit Card,https://www.federal.bank.in/fed-starbiz-credit-card-visa,Federal Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Mastercard Celesta Credit Card,https://www.federal.bank.in/celesta-credit-card,Federal Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Mastercard Imperio Credit Card,https://www.federal.bank.in/imperio-credit-card,Federal Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Mastercard Signet Credit Card,https://www.federal.bank.in/signet-credit-card,Federal Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Rupay Signet Credit Card,https://www.federal.bank.in/rupay-signet-credit-card,Federal Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Rupay Wave Credit Card,https://www.federal.bank.in/rupay-wave-credit-card,Federal Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Fed StarBiz RuPay Credit Card,https://www.federal.bank.in/fed-starbiz-credit-card-rupay,Federal Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Multi Currency Card,https://www.makemytrip.com/forex/partners/mmt/forex/bmf/onboarding/landing,FOREX,Active,,,,,,,,,,,,,,,,,,,,,,
Millennia Credit Card,https://www.hdfc.bank.in/credit-cards/millennia-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Swiggy HDFC Bank Credit Card,https://www.hdfc.bank.in/credit-cards/swiggy-hdfc-bank-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Tata Neu Plus HDFC Bank Credit Card,https://www.hdfc.bank.in/credit-cards/tata-neu-plus-hdfc-bank-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Diners Club Black Credit Card,https://www.hdfc.bank.in/credit-cards/diners-club-black-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Diners Privilege Credit Card,https://www.hdfc.bank.in/credit-cards/diners-privilege-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndianOil HDFC Bank Credit Card,https://www.hdfc.bank.in/credit-cards/indianoil-hdfc-bank-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Doctor’s Superia Credit Card,https://www.hdfc.bank.in/credit-cards/doctors-superia-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Shoppers Stop Black Credit Card,https://www.hdfc.bank.in/credit-cards/shoppers-stop-black-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Times Credit Card,https://www.hdfc.bank.in/credit-cards/platinum-times-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
InterMiles HDFC Bank Platinum Credit Card,https://www.hdfc.bank.in/credit-cards/intermiles-platinum-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Indigo HDFC Bank Credit Card,https://www.hdfc.bank.in/credit-cards/indigo-hdfc-bank-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
6E Rewards Indigo Credit Card,https://www.hdfc.bank.in/credit-cards/6e-rewards-indigo-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
InterMiles HDFC Bank Titanium Credit Card,https://www.hdfc.bank.in/credit-cards/jetprivilege-titanium-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Bharat Credit Card,https://www.hdfc.bank.in/credit-cards/bharat-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Infinia Credit Card (Metal Edition),https://www.hdfc.bank.in/credit-cards/infinia-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Shoppers Stop Credit Card,https://www.hdfc.bank.in/credit-cards/shoppers-stop-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
MoneyBack Credit Card,https://www.hdfc.bank.in/credit-cards/money-back-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Retailio HDFC Bank Credit Card,https://www.hdfc.bank.in/credit-cards/retailio-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Teacher’s Platinum Credit Card,https://www.hdfc.bank.in/credit-cards/teachers-platinum-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Freedom Credit Card,https://www.hdfc.bank.in/credit-cards/freedom-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Marriott Bonvoy HDFC Bank Credit Card,https://www.hdfc.bank.in/credit-cards/marriott-bonvoy-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IRCTC Credit Card,https://www.hdfc.bank.in/credit-cards/irctc-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Paytm Credit Card,https://www.hdfc.bank.in/credit-cards/paytm-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Titanium Times Card,https://www.hdfc.bank.in/credit-cards/titanium-times-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
6E Rewards XL Indigo Credit Card,https://www.hdfc.bank.in/credit-cards/6e-rewards-xl-indigo-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
InterMiles HDFC Bank Diners Club Credit Card,https://www.hdfc.bank.in/credit-cards/intermiles-diners-club-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
InterMiles HDFC Bank Signature Credit Card,https://www.hdfc.bank.in/credit-cards/intermiles-signature-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Regalia Gold Credit Card,https://www.hdfc.bank.in/credit-cards/regalia-gold-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Regalia First Credit Card,https://www.hdfc.bank.in/credit-cards/regalia-first-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Paytm Mobile Credit Card,https://www.hdfc.bank.in/credit-cards/paytm-mobile-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Freedom Credit Card (old URL),https://www.hdfc.bank.in/credit-cards/freedom-card-credit-card-old,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Diners Club Premium Credit Card,https://www.hdfc.bank.in/credit-cards/diners-club-premium-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Diners Club Miles Credit Card,https://www.hdfc.bank.in/credit-cards/diners-club-miles-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
AllMiles Credit Card,https://www.hdfc.bank.in/credit-cards/all-miles-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Diners Club Rewardz Credit Card,https://www.hdfc.bank.in/credit-cards/diners-club-rewardz-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Visa Signature Credit Card,https://www.hdfc.bank.in/credit-cards/visa-signature-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Diners Privilege Credit Card (old URL),https://www.hdfc.bank.in/credit-cards/diners-privilege-old-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
World MasterCard Credit Card,https://www.hdfc.bank.in/credit-cards/world-mastercard-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Titanium Edge Credit Card,https://www.hdfc.bank.in/credit-cards/titanium-edge-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Paytm HDFC Bank Digital Credit Card,https://www.hdfc.bank.in/credit-cards/paytm-digital-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Maruti Suzuki NEXA AllMiles Credit Card,https://www.hdfc.bank.in/credit-cards/maruti-suzuki-nexa-allmiles-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
SAP Concur Black Corporate Credit Card,https://www.hdfc.bank.in/credit-cards/sap-concur-black-corporate-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
SAP Concur Prime Corporate Credit Card,https://www.hdfc.bank.in/credit-cards/sap-concur-prime-corporate-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Platinum Plus Credit Card,https://www.hdfc.bank.in/credit-cards/platinum-plus-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
MoneyBack Plus Credit Card,https://www.hdfc.bank.in/credit-cards/moneyback-plus-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Doctor’s Regalia Credit Card,https://www.hdfc.bank.in/credit-cards/doctors-regalia-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Regalia Credit Card,https://www.hdfc.bank.in/credit-cards/regalia-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Paytm Select Credit Card,https://www.hdfc.bank.in/credit-cards/paytm-select-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Pine Labs HDFC Bank Credit Card,https://www.hdfc.bank.in/credit-cards/pine-labs-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Pine Labs HDFC Bank Pro Credit Card,https://www.hdfc.bank.in/credit-cards/pine-labs-pro-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Edge Credit Card,https://www.hdfc.bank.in/credit-cards/platinum-edge-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Paytm Select Business Credit Card,https://www.hdfc.bank.in/credit-cards/paytm-select-business-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Solitaire Credit Card,https://www.hdfc.bank.in/credit-cards/solitaire-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Superia Credit Card,https://www.hdfc.bank.in/credit-cards/superia-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
HDFC Bank UPI RuPay Credit Card,https://www.hdfc.bank.in/credit-cards/hdfc-bank-upi-rupay-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Titanium Times Card (alt URL),https://www.hdfc.bank.in/credit-cards/titanium-times-card-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Diners Club Black Metal Edition Credit Card,https://www.hdfc.bank.in/credit-cards/diners-club-black-metal-edition-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Business Corporate Regalia Credit Card,https://www.hdfc.bank.in/credit-cards/business-corporate-regalia-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Business MoneyBack Credit Card (benefit page),https://www.hdfc.bank.in/credit-cards/business-money-back-annual-spend-benefit,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Business MoneyBack Credit Card (T&C page),https://www.hdfc.bank.in/credit-cards/business-money-back-reward-point,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
H.O.G Diners Club Credit Card,https://www.hdfc.bank.in/credit-cards/hog-diners-club-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Harley-Davidson Diners Club Credit Card,https://www.hdfc.bank.in/credit-cards/harley-davidson-diners-club-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Pixel Play Credit Card,https://www.hdfc.bank.in/credit-cards/pixel-play-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Pixel Go Credit Card,https://www.hdfc.bank.in/credit-cards/pixel-go-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Paytm Business Credit Card,https://www.hdfc.bank.in/credit-cards/paytm-business-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Tata Neu Infinity HDFC Bank Credit Card,https://www.hdfc.bank.in/credit-cards/tata-neu-infinity-hdfc-bank-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Flipkart Wholesale Credit Card,https://www.hdfc.bank.in/credit-cards/flipkart-wholesale-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
PhonePe HDFC Bank Uno Credit Card,https://www.hdfc.bank.in/credit-cards/phonepe-hdfc-bank-uno-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
PhonePe HDFC Bank Ultimo Credit Card,https://www.hdfc.bank.in/credit-cards/phonepe-hdfc-bank-ultimo-credit-card,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Regalia Activ Credit Card,https://www.hdfc.bank.in/credit-cards/regalia-activ-credit-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
SAP Concur Prime Corporate Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/hdfc-bank-sap-concur-prime-corporate-credit-card ​,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Corporate Platinum Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/corporate-platinum-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Central Travel Account Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/central-travel-account-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Corporate Premium Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/corporate-premium-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
SAP Concur Black Corporate Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/hdfc-bank-sap-concur-black-corporate-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Corporate Visa Signature Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/corporate-visa-signature-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Corporate World Master Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/corporate-world-master-credit-card ​,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Business Platinum Credit Card (EMV),https://www.hdfc.bank.in/commercial-credit-cards/business-platinum-credit-card ​,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Purchase MoneyBack Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/purchase-moneyback-credit-card ​,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Purchase Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/purchase-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Purchase Premium Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/purchase-premium-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Purchase Reward Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/purchase-reward-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
TMC Card,https://www.hdfc.bank.in/commercial-credit-cards/tmc-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Fleet Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/fleet-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Dealer Credit Card,https://www.hdfc.bank.in/commercial-credit-cards/dealer-credit-card ​,HDFC Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Auto Insurance Card,https://www.hdfc.bank.in/commercial-credit-cards/auto-insurance-card,HDFC Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Visa Platinum Credit Card,https://www.hsbc.co.in/credit-cards/products/visa-platinum/,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
Premier Credit Card,https://www.hsbc.co.in/credit-cards/products/premier/,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
Live+ Credit Card,https://www.hsbc.co.in/credit-cards/products/live-plus/,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
HSBC Taj Credit Card,https://www.hsbc.co.in/credit-cards/products/taj/,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
HSBC TravelOne Credit Card,https://www.hsbc.co.in/credit-cards/products/travelone/,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
HSBC RuPay Cashback Credit Card,https://www.hsbc.co.in/credit-cards/products/rupay-cashback-credit-card/,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
HSBC RuPay Platinum Credit Card,https://www.hsbc.co.in/credit-cards/products/rupay-platinum-credit-card/,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
HSBC Corporate Card (Travel & Entertainment),https://www.business.hsbc.co.in/en-gb/products/corporate-card ​,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
Central Travel Card,https://www.business.hsbc.co.in/en-gb/products/central-travel-card ​,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
Virtual Card,https://www.business.hsbc.co.in/en-gb/products/virtual-card ​,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
Purchasing Card,https://www.business.hsbc.co.in/en-gb/products/purchasing-card ​,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
Business Debit Card,https://www.business.hsbc.co.in/en-gb/products/business-debit-card ​,HSBC,Active,,,,,,,,,,,,,,,,,,,,,,
Emeralde Private Metal Credit Card,https://www.icicibank.com/personal-banking/cards/credit-card/emeralde-private-metal-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Times Black Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/times-black-icici-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Emeralde Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/emeralde-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Sapphiro Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/sapphiro-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Rubyx Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/rubyx-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Coral Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/coral-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Platinum Chip Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/platinum-chip-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Adani One Signature Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/adani-icici-credit-card/signature-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Adani One Platinum Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/adani-icici-credit-card/platinum-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
MakeMyTrip Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/makemytrip/makemytrip-icici-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Emirates Emeralde Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/emirates-emeralde-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Emirates Sapphiro Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/emirates-sapphiro,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Emirates Skywards Rubyx Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/emirates-rubyx-credit-card,ICICI Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
HPCL Super Saver Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/hpcl-super-saver,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
HPCL Coral Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/hpcl-coral-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Expression Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/expressions-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Amazon Pay Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/amazon-pay-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Manchester United Signature Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/manchester-signature-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Manchester United Platinum Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/manchester-platinum-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
MakeMyTrip Signature Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/makemytrip/signature-credit-card,ICICI Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
MakeMyTrip Platinum Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/makemytrip/platinum-credit-card,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Chennai Super Kings Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/csk-card,ICICI Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
Parakram Select Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/parakram-cards/parakram-select,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Parakram Credit Card,https://www.icici.bank.in/personal-banking/cards/credit-card/parakram-cards/parakram,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Corporate Gold Card,https://buy.icici.bank.in/leadform/user-details,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Corporate Platinum Card,https://buy.icici.bank.in/leadform/user-details,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
ICICI Bank Purchase Card,https://www.icici.bank.in/personal-banking/cards/commercial-cards/purchase-card.html,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Central Travel Card,https://www.icici.bank.in/business-banking/cards/corporate-card/central-travel-account-card.html,ICICI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Royale Signature Credit Card,https://www.idbi.bank.in/royal-credit-card.aspx ​,IDBI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Euphoria World Credit Card,https://www.idbi.bank.in/euphoria-credit-card.aspx ​,IDBI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Aspire Platinum Credit Card,https://www.idbi.bank.in/aspire-credit-card.aspx ​,IDBI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Imperium Platinum Credit Card,https://www.idbi.bank.in/Imperium-credit-card.aspx,IDBI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Winnings Credit Card,https://www.idbi.bank.in/Winnings-credit-card.aspx,IDBI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Laghu Udhyami Credit Card,https://www.idbi.bank.in/laghu-udhyami-credit-card.aspx,IDBI Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Gaj Credit Card,https://www.idfcfirst.bank.in/credit-card/metal-credit-card/gaj ​,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Ashva Metal Card,https://www.idfcfirst.bank.in/credit-card/metal-credit-card/ashva ​,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Mayura Metal Card,https://www.idfcfirst.bank.in/credit-card/metal-credit-card/mayura,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST Private (Invite Only),https://www.idfcfirst.bank.in/credit-card/FIRSTPrivateCreditCard,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Diamond Reserve Credit Card,https://www.idfcfirst.bank.in/credit-card/diamond-reserve-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST WOW! Black,https://www.idfcfirst.bank.in/credit-card/wow-black-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
IndiGo IDFC FIRST Dual Credit Card,https://www.idfcfirst.bank.in/credit-card/indigo-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST WOW!,https://www.idfcfirst.bank.in/credit-card/wow,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST SWYP,https://www.idfcfirst.bank.in/credit-card/swyp-emi-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST Select,https://www.idfcfirst.bank.in/credit-card/select,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST Wealth,https://www.idfcfirst.bank.in/credit-card/wealth,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
Club Vistara Credit Card,https://www.idfcfirst.bank.in/credit-card/vistara-credit-card,IDFC First Bank,Discontinued,,,,,,,,,,,,,,,,,,,,,,
FIRST Classic,https://www.idfcfirst.bank.in/credit-card/classic,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST Millennia,https://www.idfcfirst.bank.in/credit-card/millennia,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST EA₹N,https://www.idfcfirst.bank.in/credit-card/secured-rupay-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST Digital (Virtual UPI),https://www.idfcfirst.bank.in/credit-card/rupay-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST Power,https://www.idfcfirst.bank.in/credit-card/hpcl-power-fuel-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
FIRST Power+,https://www.idfcfirst.bank.in/credit-card/hpcl-power-fuel-credit-card,IDFC First Bank,Active,,,,,,,,,,,,,,,,,,,,,,
